A3a-1 || Petilil || Planta || 1 Rombo || Sobre Crisis Dimensional
A3a-78 || Lycanroc EX || Lucha || 2 Estrellas || Sobre Crisis Dimensional
A3a-79 || Guzzlord EX || Oscuro || 2 Estrellas || Sobre Crisis Dimensional
A3a-80 || Dugtrio de Alola EX || Acero || 2 Estrellas || Sobre Crisis Dimensional
A3a-81 || Gladio || Entrenador || 2 Estrellas || Sobre Crisis Dimensional
A3a-82 || Handsome || Entrenador || 2 Estrellas || Sobre Crisis Dimensional
A3a-83 || Samina || Entrenador || 2 Estrellas || Sobre Crisis Dimensional
A3a-84 || Tapu Koko EX || Electrico || 2 Estrellas || Sobre Crisis Dimensional
A3a-85 || Lycanroc EX || Lucha || 2 Estrellas || Sobre Crisis Dimensional
A3a-86 || Guzzlord EX || Oscuro || 2 Estrellas || Sobre Crisis Dimensional
A3a-87 || Dugtrio de Alola EX || Acero || 2 Estrellas || Sobre Crisis Dimensional
A3a-88 || Buzzwole EX || Planta || 3 Estrellas || Sobre Crisis Dimensional
A3a-89 || Growlithe || Fuego || Shiny 1 Estrella || Sobre Crisis Dimensional
A3a-90 || Arcanine || Fuego || Shiny 1 Estrella || Sobre Crisis Dimensional
A3a-91 || Froakie || Agua || Shiny 1 Estrella || Sobre Crisis Dimensional
A3a-92 || Frogadier || Agua || Shiny 1 Estrella || Sobre Crisis Dimensional
A3a-93 || Greninja || Agua || Shiny 1 Estrella || Sobre Crisis Dimensional
A3a-94 || Jynx || Psiquico || Shiny 1 Estrella || Sobre Crisis Dimensional
A3a-95 || Pidgey || Incoloro || Shiny 1 Estrella || Sobre Crisis Dimensional
A3a-96 || Pidgeotto || Incoloro || Shiny 1 Estrella || Sobre Crisis Dimensional
A3a-97 || Pidgeot || Incoloro || Shiny 1 Estrella || Sobre Crisis Dimensional
A3a-98 || Aerodactyl || Incoloro || Shiny 1 Estrella || Sobre Crisis Dimensional
A3a-99 || Celebi EX || Planta || Shiny 2 Estrellas || Sobre Crisis Dimensional
A3a-100 || Arcanine EX || Fuego || Shiny 2 Estrellas || Sobre Crisis Dimensional
A3a-101 || Aerodactyl EX || Lucha || Shiny 2 Estrellas || Sobre Crisis Dimensional
A3a-102 || Pidgeot EX || Incoloro || Shiny 2 Estrellas || Sobre Crisis Dimensional
A3a-103 || Nihilego || Oscuro || Corona || Sobre Crisis Dimensional
