A4a-1 || Hoppip || Planta || 1 Rombo || Sobre Manantial Oculto
A4a-89 || Poliwrath EX || Lucha || 2 Estrellas || Sobre Manantial Oculto
A4a-90 || Suicune EX || Agua || 3 Estrellas || Sobre Manantial Oculto
A4a-91 || Chimchar || Fuego || Shiny 1 Estrella || Sobre Manantial Oculto
A4a-92 || Monferno || Fuego || Shiny 1 Estrella || Sobre Manantial Oculto
A4a-93 || Psyduck || Agua || Shiny 1 Estrella || Sobre Manantial Oculto
A4a-94 || Golduck || Agua || Shiny 1 Estrella || Sobre Manantial Oculto
A4a-95 || Krabby || Agua || Shiny 1 Estrella || Sobre Manantial Oculto
A4a-96 || Kingler || Agua || Shiny 1 Estrella || Sobre Manantial Oculto
A4a-97 || Pyukumuku || Agua || Shiny 1 Estrella || Sobre Manantial Oculto
A4a-98 || Gible || Lucha || Shiny 1 Estrella || Sobre Manantial Oculto
A4a-99 || Gabite || Lucha || Shiny 1 Estrella || Sobre Manantial Oculto
A4a-100 || Wooper de Paldea || Oscuro || Shiny 1 Estrella || Sobre Manantial Oculto
A4a-101 || Infernape EX || Fuego || Shiny 2 Estrellas || Sobre Manantial Oculto
A4a-102 || Mew EX || Psiquico || Shiny 2 Estrellas || Sobre Manantial Oculto
A4a-103 || Garchomp EX || Lucha || Shiny 2 Estrellas || Sobre Manantial Oculto
A4a-104 || Clodsire de Paldea EX || Oscuro || Shiny 2 Estrellas || Sobre Manantial Oculto
A4a-105 || Mantyke || Agua || Corona || Sobre Manantial Oculto
