A3b-1 || Tropius || Planta || 2 Rombos || Sobre Arboleda de Eevee
A3b-86 || Noa || Entrenador || 2 Estrellas || Sobre Arboleda de Eevee
A3b-87 || Flareon EX || Fuego || 2 Estrellas || Sobre Arboleda de Eevee
A3b-88 || Primarina EX || Agua || 2 Estrellas || Sobre Arboleda de Eevee
A3b-89 || Sylveon EX || Psiquico || 2 Estrellas || Sobre Arboleda de Eevee
A3b-90 || Dragonite EX || Dragon || 2 Estrellas || Sobre Arboleda de Eevee
A3b-91 || Snorlax EX || Incoloro || 2 Estrellas || Sobre Arboleda de Eevee
A3b-92 || Eevee EX || Incoloro || 3 Estrellas || Sobre Arboleda de Eevee
A3b-93 || Pinsir || Planta || Shiny 1 Estrella || Sobre Arboleda de Eevee
A3b-94 || Lapras || Agua || Shiny 1 Estrella || Sobre Arboleda de Eevee
A3b-95 || Voltorb || Electrico || Shiny 1 Estrella || Sobre Arboleda de Eevee
A3b-96 || Electrode || Electrico || Shiny 1 Estrella || Sobre Arboleda de Eevee
A3b-97 || Ralts || Psiquico || Shiny 1 Estrella || Sobre Arboleda de Eevee
A3b-98 || Kirlia || Psiquico || Shiny 1 Estrella || Sobre Arboleda de Eevee
A3b-99 || Gardevoir || Psiquico || Shiny 1 Estrella || Sobre Arboleda de Eevee
A3b-100 || Ekans || Oscuro || Shiny 1 Estrella || Sobre Arboleda de Eevee
A3b-101 || Arbok || Oscuro || Shiny 1 Estrella || Sobre Arboleda de Eevee
A3b-102 || Farfetch’d || Incoloro || Shiny 1 Estrella || Sobre Arboleda de Eevee
A3b-103 || Moltres EX || Fuego || Shiny 2 Estrellas || Sobre Arboleda de Eevee
A3b-104 || Articuno EX || Agua || Shiny 2 Estrellas || Sobre Arboleda de Eevee
A3b-105 || Zapdos EX || Electrico || Shiny 2 Estrellas || Sobre Arboleda de Eevee
A3b-106 || Gallade EX || Lucha || Shiny 2 Estrellas || Sobre Arboleda de Eevee
A3b-107 || Mochila de Eevee || Entrenador || Corona || Sobre Arboleda de Eevee
