B1a-1 || Bulbasaur || Planta || 1 Rombo || Sobre Fuego Carmesí
B1a-46 || Muk || Oscuro || 1 Rombo || Sobre Fuego Carmesí
B1a-47 || Purrloin || Oscuro || 1 Rombo || Sobre Fuego Carmesí
B1a-48 || Liepard || Oscuro || 2 Rombos || Sobre Fuego Carmesí
B1a-49 || Trubbish || Oscuro || 1 Rombo || Sobre Fuego Carmesí
B1a-50 || Garbodor || Oscuro || 2 Rombos || Sobre Fuego Carmesí
B1a-51 || Steelix || Acero || 2 Rombos || Sobre Fuego Carmesí
B1a-52 || Mega-Steelix EX || Acero || 4 Rombos || Sobre Fuego Carmesí
B1a-53 || Probopass || Acero || 2 Rombos || Sobre Fuego Carmesí
B1a-54 || Genesect || Acero || 3 Rombos || Sobre Fuego Carmesí
B1a-55 || Ditto || Incoloro || 2 Rombos || Sobre Fuego Carmesí
B1a-56 || Porygon || Incoloro || 1 Rombo || Sobre Fuego Carmesí
B1a-57 || Porygon2 || Incoloro || 2 Rombos || Sobre Fuego Carmesí
B1a-58 || Porygon-Z || Incoloro || 3 Rombos || Sobre Fuego Carmesí
B1a-59 || Starly || Incoloro || 1 Rombo || Sobre Fuego Carmesí
B1a-60 || Staravia || Incoloro || 1 Rombo || Sobre Fuego Carmesí
B1a-61 || Staraptor || Incoloro || 2 Rombos || Sobre Fuego Carmesí
B1a-62 || Buneary || Incoloro || 1 Rombo || Sobre Fuego Carmesí
B1a-63 || Lopunny || Incoloro || 2 Rombos || Sobre Fuego Carmesí
B1a-64 || Bouffalant || Incoloro || 2 Rombos || Sobre Fuego Carmesí
B1a-65 || Furfrou || Incoloro || 2 Rombos || Sobre Fuego Carmesí
B1a-66 || Mochila de Lem || Entrenador || 2 Rombos || Sobre Fuego Carmesí
B1a-67 || Extracto de Maduración || Entrenador || 2 Rombos || Sobre Fuego Carmesí
B1a-68 || Lem || Entrenador || 2 Rombos || Sobre Fuego Carmesí
B1a-69 || Serena || Entrenador || 2 Rombos || Sobre Fuego Carmesí
B1a-70 || Ariados || Planta || 1 Estrella || Sobre Fuego Carmesí
B1a-71 || Sunflora || Planta || 1 Estrella || Sobre Fuego Carmesí
B1a-72 || Reuniclus || Psiquico || 1 Estrella || Sobre Fuego Carmesí
B1a-73 || Xerneas || Psiquico || 1 Estrella || Sobre Fuego Carmesí
B1a-74 || Trubbish || Oscuro || 1 Estrella || Sobre Fuego Carmesí
B1a-75 || Buneary || Incoloro || 1 Estrella || Sobre Fuego Carmesí
B1a-76 || Mega-Venusaur EX || Planta || 2 Estrellas || Sobre Fuego Carmesí
B1a-77 || Mega-Charizard Y EX || Fuego || 2 Estrellas || Sobre Fuego Carmesí
B1a-78 || Mega-Blastoise EX || Agua || 2 Estrellas || Sobre Fuego Carmesí
B1a-79 || Mega-Lopunny EX || Lucha || 2 Estrellas || Sobre Fuego Carmesí
B1a-80 || Mega-Steelix EX || Acero || 2 Estrellas || Sobre Fuego Carmesí
B1a-81 || Lem || Entrenador || 2 Estrellas || Sobre Fuego Carmesí
B1a-82 || Serena || Entrenador || 2 Estrellas || Sobre Fuego Carmesí
B1a-83 || Mega-Venusaur EX || Planta || 2 Estrellas || Sobre Fuego Carmesí
B1a-84 || Mega-Blastoise EX || Agua || 2 Estrellas || Sobre Fuego Carmesí
B1a-85 || Mega-Lopunny EX || Lucha || 2 Estrellas || Sobre Fuego Carmesí
B1a-86 || Mega-Steelix EX || Acero || 2 Estrellas || Sobre Fuego Carmesí
B1a-87 || Mega-Charizard Y EX || Fuego || 3 Estrellas || Sobre Fuego Carmesí
B1a-88 || Oddish || Planta || Shiny 1 Estrella || Sobre Fuego Carmesí
B1a-89 || Gloom || Planta || Shiny 1 Estrella || Sobre Fuego Carmesí
B1a-90 || Vileplume || Planta || Shiny 1 Estrella || Sobre Fuego Carmesí
B1a-91 || Charizard || Fuego || Shiny 1 Estrella || Sobre Fuego Carmesí
B1a-92 || Shellder || Agua || Shiny 1 Estrella || Sobre Fuego Carmesí
B1a-93 || Cloyster || Agua || Shiny 1 Estrella || Sobre Fuego Carmesí
B1a-94 || Sandshrew || Lucha || Shiny 1 Estrella || Sobre Fuego Carmesí
B1a-95 || Sandslash || Lucha || Shiny 1 Estrella || Sobre Fuego Carmesí
B1a-96 || Código Cero || Incoloro || Shiny 1 Estrella || Sobre Fuego Carmesí
B1a-97 || Silvally || Incoloro || Shiny 1 Estrella || Sobre Fuego Carmesí
B1a-98 || Buzzwole EX || Planta || Shiny 2 Estrellas || Sobre Fuego Carmesí
B1a-99 || Lunala EX || Psiquico || Shiny 2 Estrellas || Sobre Fuego Carmesí
B1a-100 || Guzzlord EX || Oscuro || Shiny 2 Estrellas || Sobre Fuego Carmesí
B1a-101 || Solgaleo EX || Acero || Shiny 2 Estrellas || Sobre Fuego Carmesí
B1a-102 || Aegislash || Acero || Corona || Sobre Fuego Carmesí
B1a-103 || Extracto de Maduración || Entrenador || Corona || Sobre Fuego Carmesí
