A3-1 || Exeggcute || Planta || 1 Rombo || Sobre Lunala
A3-208 || Guzmán || Entrenador || 3 Estrellas || Sobre Lunala
A3-209 || Lylia || Entrenador || 3 Estrellas || Sobre Solgaleo
A3-210 || Bulbasaur || Planta || Shiny 1 Estrella || Sobre Solgaleo
A3-211 || Ivysaur || Planta || Shiny 1 Estrella || Sobre Solgaleo
A3-212 || Venusaur || Planta || Shiny 1 Estrella || Sobre Solgaleo
A3-213 || Exeggcute || Planta || Shiny 1 Estrella || Sobre Lunala
A3-214 || Exeggutor || Planta || Shiny 1 Estrella || Sobre Lunala
A3-215 || Squirtle || Agua || Shiny 1 Estrella || Sobre Lunala
A3-216 || Wartortle || Agua || Shiny 1 Estrella || Sobre Lunala
A3-217 || Blastoise || Agua || Shiny 1 Estrella || Sobre Lunala
A3-218 || Staryu || Agua || Shiny 1 Estrella || Sobre Solgaleo
A3-219 || Starmie || Agua || Shiny 1 Estrella || Sobre Solgaleo
A3-220 || Gastly || Psiquico || Shiny 1 Estrella || Sobre Lunala
A3-221 || Haunter || Psiquico || Shiny 1 Estrella || Sobre Lunala
A3-222 || Gengar || Psiquico || Shiny 1 Estrella || Sobre Lunala
A3-223 || Machop || Lucha || Shiny 1 Estrella || Sobre Solgaleo
A3-224 || Machoke || Lucha || Shiny 1 Estrella || Sobre Solgaleo
A3-225 || Machamp || Lucha || Shiny 1 Estrella || Sobre Solgaleo
A3-226 || Cubone || Lucha || Shiny 1 Estrella || Sobre Lunala
A3-227 || Marowak || Lucha || Shiny 1 Estrella || Sobre Lunala
A3-228 || Jigglypuff || Incoloro || Shiny 1 Estrella || Sobre Solgaleo
A3-229 || Wigglytuff || Incoloro || Shiny 1 Estrella || Sobre Solgaleo
A3-230 || Venusaur EX || Planta || Shiny 2 Estrellas || Sobre Solgaleo
A3-231 || Exeggutor EX || Planta || Shiny 2 Estrellas || Sobre Lunala
A3-232 || Blastoise EX || Agua || Shiny 2 Estrellas || Sobre Lunala
A3-233 || Starmie EX || Agua || Shiny 2 Estrellas || Sobre Solgaleo
A3-234 || Gengar EX || Psiquico || Shiny 2 Estrellas || Sobre Lunala
A3-235 || Machamp EX || Lucha || Shiny 2 Estrellas || Sobre Solgaleo
A3-236 || Marowak EX || Lucha || Shiny 2 Estrellas || Sobre Lunala
A3-237 || Wigglytuff EX || Incoloro || Shiny 2 Estrellas || Sobre Solgaleo
A3-238 || Lunala EX || Psiquico || Corona || Sobre Lunala
A3-239 || Solgaleo EX || Acero || Corona || Sobre Solgaleo
