A2a-1 || Heracross || Planta || 2 Rombos || Sobre Luz Triunfal
A2a-75 || Adamas || Entrenador || 2 Rombos || Sobre Luz Triunfal
A2a-76 || Houndoom || Fuego || 1 Estrella || Sobre Luz Triunfal
A2a-77 || Marill || Agua || 1 Estrella || Sobre Luz Triunfal
A2a-78 || Unown || Psiquico || 1 Estrella || Sobre Luz Triunfal
A2a-79 || Sudowoodo || Lucha || 1 Estrella || Sobre Luz Triunfal
A2a-80 || Magnemite || Acero || 1 Estrella || Sobre Luz Triunfal
A2a-81 || Shaymin || Incoloro || 1 Estrella || Sobre Luz Triunfal
A2a-82 || Leafeon EX || Planta || 2 Estrellas || Sobre Luz Triunfal
A2a-83 || Glaceon EX || Agua || 2 Estrellas || Sobre Luz Triunfal
A2a-84 || Garchomp EX || Lucha || 2 Estrellas || Sobre Luz Triunfal
A2a-85 || Probopass EX || Acero || 2 Estrellas || Sobre Luz Triunfal
A2a-86 || Arceus EX || Incoloro || 2 Estrellas || Sobre Luz Triunfal
A2a-87 || Nákara || Entrenador || 2 Estrellas || Sobre Luz Triunfal
A2a-88 || Anciana de Pueblo Caelestis || Entrenador || 2 Estrellas || Sobre Luz Triunfal
A2a-89 || Israel || Entrenador || 2 Estrellas || Sobre Luz Triunfal
A2a-90 || Adamas || Entrenador || 2 Estrellas || Sobre Luz Triunfal
A2a-91 || Leafeon EX || Planta || 2 Estrellas || Sobre Luz Triunfal
A2a-92 || Glaceon EX || Agua || 2 Estrellas || Sobre Luz Triunfal
A2a-93 || Garchomp EX || Lucha || 2 Estrellas || Sobre Luz Triunfal
A2a-94 || Probopass EX || Acero || 2 Estrellas || Sobre Luz Triunfal
A2a-95 || Arceus EX || Incoloro || 3 Estrellas || Sobre Luz Triunfal
A2a-96 || Arceus EX || Incoloro || Corona || Sobre Luz Triunfal
