A1-1 || Bulbasaur || Planta || 1 Rombo || Sobre Mewtwo
A1-150 || Onix || Lucha || 2 Rombos || Sobre Pikachu
A1-151 || Cubone || Lucha || 1 Rombo || Sobre Mewtwo
A1-152 || Marowak || Lucha || 2 Rombos || Sobre Mewtwo
A1-153 || Marowak EX || Lucha || 4 Rombos || Sobre Mewtwo
A1-154 || Hitmonlee || Lucha || 1 Rombo || Sobre Mewtwo
A1-155 || Hitmonchan || Lucha || 1 Rombo || Sobre Charizard
A1-156 || Rhyhorn || Lucha || 1 Rombo || Sobre Mewtwo
A1-157 || Rhydon || Lucha || 2 Rombos || Sobre Mewtwo
A1-158 || Kabuto || Lucha || 2 Rombos || Sobre Charizard
A1-159 || Kabutops || Lucha || 3 Rombos || Sobre Charizard
A1-160 || Mienfoo || Lucha || 1 Rombo || Sobre Pikachu
A1-161 || Mienshao || Lucha || 2 Rombos || Sobre Pikachu
A1-162 || Clobbopus || Lucha || 1 Rombo || Sobre Genes Formidables
A1-163 || Grapploct || Lucha || 2 Rombos || Sobre Genes Formidables
A1-164 || Ekans || Oscuro || 1 Rombo || Sobre Genes Formidables
A1-165 || Arbok || Oscuro || 2 Rombos || Sobre Genes Formidables
A1-166 || Nidoran♀ || Oscuro || 1 Rombo || Sobre Pikachu
A1-167 || Nidorina || Oscuro || 2 Rombos || Sobre Pikachu
A1-168 || Nidoqueen || Oscuro || 3 Rombos || Sobre Pikachu
A1-169 || Nidoran♂ || Oscuro || 1 Rombo || Sobre Pikachu
A1-170 || Nidorino || Oscuro || 2 Rombos || Sobre Pikachu
A1-171 || Nidoking || Oscuro || 3 Rombos || Sobre Pikachu
A1-172 || Zubat || Oscuro || 1 Rombo || Sobre Mewtwo
A1-173 || Golbat || Oscuro || 2 Rombos || Sobre Mewtwo
A1-174 || Grimer || Oscuro || 1 Rombo || Sobre Mewtwo
A1-175 || Muk || Oscuro || 3 Rombos || Sobre Mewtwo
A1-176 || Koffing || Oscuro || 1 Rombo || Sobre Mewtwo
A1-177 || Weezing || Oscuro || 3 Rombos || Sobre Mewtwo
A1-178 || Mawile || Acero || 1 Rombo || Sobre Charizard
A1-179 || Pawniard || Acero || 1 Rombo || Sobre Genes Formidables
A1-180 || Bisharp || Acero || 2 Rombos || Sobre Genes Formidables
A1-181 || Meltan || Acero || 1 Rombo || Sobre Charizard
A1-182 || Melmetal || Acero || 3 Rombos || Sobre Charizard
A1-183 || Dratini || Dragon || 1 Rombo || Sobre Mewtwo
A1-184 || Dragonair || Dragon || 2 Rombos || Sobre Mewtwo
A1-185 || Dragonite || Dragon || 3 Rombos || Sobre Mewtwo
A1-186 || Pidgey || Incoloro || 1 Rombo || Sobre Mewtwo
A1-187 || Pidgeotto || Incoloro || 1 Rombo || Sobre Mewtwo
A1-188 || Pidgeot || Incoloro || 3 Rombos || Sobre Mewtwo
A1-189 || Rattata || Incoloro || 1 Rombo || Sobre Genes Formidables
A1-190 || Raticate || Incoloro || 1 Rombo || Sobre Genes Formidables
A1-191 || Spearow || Incoloro || 1 Rombo || Sobre Charizard
A1-192 || Fearow || Incoloro || 1 Rombo || Sobre Charizard
A1-193 || Jigglypuff || Incoloro || 1 Rombo || Sobre Pikachu
A1-194 || Wigglytuff || Incoloro || 1 Rombo || Sobre Pikachu
A1-195 || Wigglytuff EX || Incoloro || 4 Rombos || Sobre Pikachu
A1-196 || Meowth || Incoloro || 1 Rombo || Sobre Charizard
A1-197 || Persian || Incoloro || 2 Rombos || Sobre Charizard
A1-198 || Farfetch’d || Incoloro || 1 Rombo || Sobre Genes Formidables
A1-199 || Doduo || Incoloro || 1 Rombo || Sobre Genes Formidables
A1-200 || Dodrio || Incoloro || 2 Rombos || Sobre Genes Formidables
A1-201 || Lickitung || Incoloro || 2 Rombos || Sobre Mewtwo
A1-202 || Chansey || Incoloro || 2 Rombos || Sobre Pikachu
A1-203 || Kangaskhan || Incoloro || 3 Rombos || Sobre Charizard
A1-204 || Tauros || Incoloro || 2 Rombos || Sobre Charizard
A1-205 || Ditto || Incoloro || 3 Rombos || Sobre Mewtwo
A1-206 || Eevee || Incoloro || 1 Rombo || Sobre Charizard
A1-207 || Eevee || Incoloro || 1 Rombo || Sobre Mewtwo
A1-208 || Eevee || Incoloro || 1 Rombo || Sobre Pikachu
A1-209 || Porygon || Incoloro || 2 Rombos || Sobre Mewtwo
A1-210 || Aerodactyl || Incoloro || 3 Rombos || Sobre Mewtwo
A1-211 || Snorlax || Incoloro || 3 Rombos || Sobre Pikachu
A1-212 || Minccino || Incoloro || 1 Rombo || Sobre Genes Formidables
A1-213 || Cinccino || Incoloro || 2 Rombos || Sobre Genes Formidables
A1-214 || Wooloo || Incoloro || 1 Rombo || Sobre Genes Formidables
A1-215 || Dubwool || Incoloro || 1 Rombo || Sobre Genes Formidables
A1-216 || Fósil Hélix || Entrenador || 1 Rombo || Sobre Pikachu
A1-217 || Fósil Domo || Entrenador || 1 Rombo || Sobre Charizard
A1-218 || Ámbar Viejo || Entrenador || 1 Rombo || Sobre Mewtwo
A1-219 || Erika || Entrenador || 2 Rombos || Sobre Charizard
A1-220 || Misty || Entrenador || 2 Rombos || Sobre Pikachu
A1-221 || Blaine || Entrenador || 2 Rombos || Sobre Charizard
A1-222 || Koga || Entrenador || 2 Rombos || Sobre Mewtwo
A1-223 || Giovanni || Entrenador || 2 Rombos || Sobre Mewtwo
A1-224 || Brock || Entrenador || 2 Rombos || Sobre Pikachu
A1-225 || Sabrina || Entrenador || 2 Rombos || Sobre Charizard
A1-226 || Teniente Surge || Entrenador || 2 Rombos || Sobre Pikachu
A1-227 || Bulbasaur || Planta || 1 Estrella || Sobre Mewtwo
A1-228 || Gloom || Planta || 1 Estrella || Sobre Charizard
A1-229 || Pinsir || Planta || 1 Estrella || Sobre Charizard
A1-230 || Charmander || Fuego || 1 Estrella || Sobre Charizard
A1-231 || Rapidash || Fuego || 1 Estrella || Sobre Charizard
A1-232 || Squirtle || Agua || 1 Estrella || Sobre Pikachu
A1-233 || Gyarados || Agua || 1 Estrella || Sobre Pikachu
A1-234 || Lapras || Agua || 1 Estrella || Sobre Charizard
A1-235 || Electrode || Electrico || 1 Estrella || Sobre Pikachu
A1-236 || Alakazam || Psiquico || 1 Estrella || Sobre Charizard
A1-237 || Slowpoke || Psiquico || 1 Estrella || Sobre Charizard
A1-238 || Diglett || Lucha || 1 Estrella || Sobre Pikachu
A1-239 || Cubone || Lucha || 1 Estrella || Sobre Mewtwo
A1-240 || Nidoqueen || Oscuro || 1 Estrella || Sobre Pikachu
A1-241 || Nidoking || Oscuro || 1 Estrella || Sobre Pikachu
A1-242 || Golbat || Oscuro || 1 Estrella || Sobre Mewtwo
A1-243 || Weezing || Oscuro || 1 Estrella || Sobre Mewtwo
A1-244 || Dragonite || Dragon || 1 Estrella || Sobre Mewtwo
A1-245 || Pidgeot || Incoloro || 1 Estrella || Sobre Mewtwo
A1-246 || Meowth || Incoloro || 1 Estrella || Sobre Charizard
A1-247 || Ditto || Incoloro || 1 Estrella || Sobre Mewtwo
A1-248 || Eevee || Incoloro || 1 Estrella || Sobre Pikachu
A1-249 || Porygon || Incoloro || 1 Estrella || Sobre Mewtwo
A1-250 || Snorlax || Incoloro || 1 Estrella || Sobre Pikachu
A1-251 || Venusaur EX || Planta || 2 Estrellas || Sobre Mewtwo
A1-252 || Exeggutor EX || Planta || 2 Estrellas || Sobre Charizard
A1-253 || Charizard EX || Fuego || 2 Estrellas || Sobre Charizard
A1-254 || Arcanine EX || Fuego || 2 Estrellas || Sobre Pikachu
A1-255 || Moltres EX || Fuego || 2 Estrellas || Sobre Charizard
A1-256 || Blastoise EX || Agua || 2 Estrellas || Sobre Pikachu
A1-257 || Starmie EX || Agua || 2 Estrellas || Sobre Charizard
A1-258 || Articuno EX || Agua || 2 Estrellas || Sobre Mewtwo
A1-259 || Pikachu EX || Electrico || 2 Estrellas || Sobre Pikachu
A1-260 || Zapdos EX || Electrico || 2 Estrellas || Sobre Pikachu
A1-261 || Gengar EX || Psiquico || 2 Estrellas || Sobre Mewtwo
A1-262 || Mewtwo EX || Psiquico || 2 Estrellas || Sobre Mewtwo
A1-263 || Machamp EX || Lucha || 2 Estrellas || Sobre Charizard
A1-264 || Marowak EX || Lucha || 2 Estrellas || Sobre Mewtwo
A1-265 || Wigglytuff EX || Incoloro || 2 Estrellas || Sobre Pikachu
A1-266 || Erika || Entrenador || 2 Estrellas || Sobre Charizard
A1-267 || Misty || Entrenador || 2 Estrellas || Sobre Pikachu
A1-268 || Blaine || Entrenador || 2 Estrellas || Sobre Charizard
A1-269 || Koga || Entrenador || 2 Estrellas || Sobre Mewtwo
A1-270 || Giovanni || Entrenador || 2 Estrellas || Sobre Mewtwo
A1-271 || Brock || Entrenador || 2 Estrellas || Sobre Pikachu
A1-272 || Sabrina || Entrenador || 2 Estrellas || Sobre Charizard
A1-273 || Teniente Surge || Entrenador || 2 Estrellas || Sobre Pikachu
A1-274 || Moltres EX || Fuego || 2 Estrellas || Sobre Charizard
A1-275 || Articuno EX || Agua || 2 Estrellas || Sobre Mewtwo
A1-276 || Zapdos EX || Electrico || 2 Estrellas || Sobre Pikachu
A1-277 || Gengar EX || Psiquico || 2 Estrellas || Sobre Mewtwo
A1-278 || Machamp EX || Lucha || 2 Estrellas || Sobre Charizard
A1-279 || Wigglytuff EX || Incoloro || 2 Estrellas || Sobre Pikachu
A1-280 || Charizard EX || Fuego || 3 Estrellas || Sobre Charizard
A1-281 || Pikachu EX || Electrico || 3 Estrellas || Sobre Pikachu
A1-282 || Mewtwo EX || Psiquico || 3 Estrellas || Sobre Mewtwo
A1-283 || Mew || Psiquico || 3 Estrellas || Sobre Genes Formidables
A1-284 || Charizard EX || Fuego || Corona || Sobre Charizard
A1-285 || Pikachu EX || Electrico || Corona || Sobre Pikachu
A1-286 || Mewtwo EX || Psiquico || Corona || Sobre Mewtwo
